DIMENSÃO,TEMA,,PERGUNTA,TEMA MATERIAL,PONTUAÇÃO,PESO,POR QUE ISSO É IMPORTANTE?,RELATÓRIO DE IMPACTO,DESTAQUES,,
,,,"
2) Monitoramos e fazemos o acompanhamento preventivo.",,2,1,,,,,
,,,"3) Possuímos um forte sistema de prevenção à acidentes de trabalho, além da CIPA.",,3,1,,,,,
,,,"4) Buscamos monitorar e prevenir os danos, assim como a empresa fez investimentos em equipamentos mais seguros.",,4,1,,,,,
,,,5) Temos os orgulho de reportar que não houveram acidentes no último ano fiscal.,,5,1,,,,,
,12. ENGAJAMENTO E DIVERSIDADE,12.1,Qual o percentual dos seus trabalhadores são mulheres?,,,,,,,,
,,,1) Não monitoramos.,,1,1,,,,,
,,,2) Até 10%,,2,1,,RELATÓRIO DE IMPACTO,,,
,,,3) Entre 10% e 15%,,3,1,,RELATÓRIO DE IMPACTO,,,
,,,4) Entre 15% e 25%,,4,1,,RELATÓRIO DE IMPACTO,,,
,,,5) 50% ou mais,,5,1,,RELATÓRIO DE IMPACTO,,,
,,12.2,Qual o percentual dos seus trabalhadores são pessoas negras?,,,,,,,,
,,,1) Não monitoramos.,,1,1,,,,,
,,,2) Até 10%,,2,1,,RELATÓRIO DE IMPACTO,,,
,,,3) Entre 10% e 15%,,3,1,,RELATÓRIO DE IMPACTO,,,
,,,4) Entre 15% e 25%,,4,1,,RELATÓRIO DE IMPACTO,,,
,,,5) 50% ou mais,,5,1,,RELATÓRIO DE IMPACTO,,,
,,12.3,Qual o percentual dos seus trabalhadores são LGBTQIAPN+?,,,,,,,,
,,,1) Não monitoramos.,,1,1,,,,,
,,,2) Até 10%,,2,1,,,,,
,,,3) Entre 10% e 15%,,3,1,,,,,
,,,4) Entre 15% e 25%,,4,1,,,,,
,,,5) 50% ou mais,,5,1,,,,,
,,12.4,Qual o percentual dos seus trabalhadores possuem mais de 55 anos?,,,,,,,,
,,,1) Não monitoramos.,,1,1,,,,,
,,,2) Até 10%,,2,1,,RELATÓRIO DE IMPACTO,,,
,,,3) Entre 10% e 15%,,3,1,,RELATÓRIO DE IMPACTO,,,
,,,4) Entre 15% e 25%,,4,1,,RELATÓRIO DE IMPACTO,,,
,,,5) 50% ou mais,,5,1,,RELATÓRIO DE IMPACTO,,,
,,12.5,Existe uma politica de contratação inclusiva?,,,,,,,,
,,,1) Não,,0,1,,,,,
,,,2) Sim,,5,1,,,,,
,,12.6,Qual o percentual de trabalhadores são Pessoas Com Deficiência (PcDs)?,,,,,,,,
,,,1) Não monitoramos.,,1,1,,,,,
,,,2) Até 10%,,2,1,,,,,
,,,3) Entre 10% e 15%,,3,1,,,,,
,,,4) Entre 15% e 25%,,4,1,,,,,
,,,5) 50% ou mais,,5,1,,,,,
,13. FORNECEDORES ,13.1,Os critérios socioambientais são considerados na escolha dos fornecedores?,,,,,,,,
,,,1) Não,,0,1,,,,,
,,,2) Sim,,5,1,,,,,
,,13.2,Qual o percentual dos seus fornecedores pertencem ao mercado local?,,,,,,,,
,,,1) Não monitoramos.,,1,1,,,,,
,,,2) Até 10%,,2,1,,,,,
,,,3) Entre 10% e 15%,,3,1,,RELATÓRIO DE IMPACTO,,,
,,,4) Entre 15% e 25%,,4,1,,RELATÓRIO DE IMPACTO,,,
,,,5) 50% ou mais,,5,1,,RELATÓRIO DE IMPACTO,,,
,,13.3,Existe um documento formal que declara o código de conduta de fornecedores ou avaliação periódica?,,,,,,,,
,,,1) Não,,0,1,,,,,
,,,2) Sim,,5,1,,,,,
,,13.4,Os fornecedores recebem treinamentos e passam por auditorias periódicas?,,,,,,,,
,,,1) Não,,0,1,,,,,
,,,2) Sim,,5,1,,,,,
,,,,,,,,,,,
,,19,PERGUNTAS,,,,,,,,
